,WT1
1568,99.30581957
1569,230.7854647
1570,248.3510647
1571,249.6221197
1572,246.5633874
1573,231.1818152
1574,193.1112675
1575,146.4731166
1576,114.2721503
1577,84.25680188
1578,56.94231972
1579,23.27695197
1580,3.917350476
1581,1.199206222
1582,6.511942718
1583,16.42692231
1584,24.57807492
1585,27.90741895
1586,26.72110097
1587,21.40180419
1588,18.4934117
1589,14.13082298
1590,10.12583906
1591,7.716574831
1592,18.03419184
1593,64.44291087
1594,189.6835192
1595,238.2764887
1596,244.9971196
1597,239.2673649
1598,221.5108635
1599,190.202875
1600,152.2899015
1601,126.3444393
1602,109.3109357
1603,62.24630917
1604,66.90739081
1605,110.1378048
1606,124.773388
1607,133.7862612
1608,152.0821592
1609,145.0189203
1610,139.7214911
1611,142.6298836
1612,154.8866805
1613,175.1415568
1614,190.0990038
1615,186.7751267
1616,219.4102059
1617,250
1618,250
1619,250
1620,247.039008
1621,234.2733489
1622,221.114513
1623,219.489476
1624,227.1390403
1625,240.932037
1626,245.8253554
1627,232.8861222
1628,233.4806479
1629,246.6371906
1630,248.0476516
1631,248.5642739
1632,244.1934849
1633,220.9956078
1634,170.5712257
1635,137.7552329
1636,110.1378048
1637,108.0706321
1638,120.2256079
1639,130.3960979
1640,216.199767
1641,250
1642,250
1643,250
1644,249.7779264
1645,228.6848071
1646,165.7931523
1647,125.4348832
1648,122.9542759
1649,126.1790654
1650,119.9775472
1651,60.85334225
1652,76.44385669
1653,137.8379198
1654,163.9234715
1655,150.7318341
1656,127.7501167
1657,75.80094888
1658,36.05857157
1659,15.73809251
1660,7.330474795
1661,4.272562509
1662,4.133566496
1663,5.647078638
1664,19.94760794
1665,43.11980176
1666,94.59266568
1667,124.6080141
1668,124.6907011
1669,97.32133372
1670,65.94302909
1671,43.33410436
1672,32.38481264
1673,35.52281506
1674,66.21090735
1675,108.9801881
1676,200.4861198
1677,220.3614471
1678,201.3170891
1679,161.5344348
1680,135.1919387
1681,123.0369628
1682,129.6519157
1683,150.7318341
1684,160.391852
1685,174.7260721
1686,185.4248016
1687,196.8506292
1688,234.3129839
1689,247.6950363
1690,245.6285469
1691,216.1204969
1692,124.0292058
1693,68.08605514
1694,45.1556765
1695,42.5304696
1696,46.17361387
1697,51.26330071
1698,52.33481374
1699,36.40298647
1700,31.46637291
1701,36.17337654
1702,43.06622611
1703,49.49530423
1704,46.49506777
1705,43.81628522
1706,46.81652168
1707,49.38815293
1708,49.06669902
1709,37.62757278
1710,27.6395407
1711,13.4802615
1712,21.89929237
1713,56.62086582
1714,73.76507414
1715,61.49625006
1716,37.01527963
1717,20.98085264
1718,20.44509613
1719,44.61991999
1720,102.4479222
