,DT
1538,82.5805
1539,78.42563333
1540,78.011
1541,74.35516667
1542,75.209
1543,95.74866667
1544,118.3693333
1545,128.31
1546,141.685
1547,151.445
1548,149.67
1549,140.36
1550,147.295
1551,142.235
1552,139.5
1553,136.4721667
1554,122.1686667
1555,141.1183333
1556,150.135
1557,140.3225
1558,136.0383333
1559,116.4451667
1560,106.3268333
1561,87.51216667
1562,78.87901667
1563,84.50696667
1564,83.72121667
1565,79.43341667
1566,89.42148333
1567,94.1582
1568,95.8932
1569,127.9378333
1570,138.0685
1571,124.983
1572,116.0829667
1573,163.086
1574,142.7195
1575,106.4696667
1576,147.7065
1577,135.6908833
1578,113.1252333
1579,130.5091667
1580,147.7908333
1581,128.842
1582,111.5216667
1583,94.50733333
1584,101.60325
1585,80.24225
1586,83.70478333
1587,78.27233333
1588,71.76158333
1589,69.67
1590,71.16175
1591,83.49558333
1592,94.77746667
1593,111.99145
1594,148.6618333
1595,137.2506667
1596,142.2368333
1597,132.3938833
1598,131.5331167
1599,108.6052833
1600,114.07625
1601,129.5392667
1602,111.5062667
1603,114.38175
1604,122.4033333
1605,125.72
1606,132.5458333
1607,101.5705833
1608,97.39483333
1609,81.46708333
1610,74.07408333
1611,72.89625
1612,90.47766667
1613,74.42058333
1614,73.08916667
1615,83.07008333
1616,104.77435
1617,105.0704167
1618,120.4966667
1619,111.85675
1620,118.6895333
1621,112.7959167
1622,113.4347833
1623,111.4521
1624,103.9515
1625,115.7503
1626,93.24498333
1627,102.6107667
1628,144.3058333
1629,131.1791667
1630,114.494
1631,95.82516667
1632,85.79033333
1633,80.02216667
1634,78.356
1635,79.55933333
1636,78.67178333
1637,75.67505
1638,73.92843333
1639,81.58463333
1640,86.22641667
1641,101.26475
1642,108.9525667
1643,106.5563833
1644,105.7329
1645,111.29475
1646,107.81495
1647,101.8581
1648,95.90535
1649,85.68135
1650,86.0682
1651,110.1814667
1652,123.9218333
1653,120.8316667
1654,114.0516667
1655,107.3128333
1656,89.97086667
1657,77.37716667
1658,72.05383333
1659,69.65
1660,69.374
1661,69.23266667
1662,71.4705
1663,80.22216667
1664,86.72016667
1665,108.4476667
1666,102.049
1667,114.0738333
1668,93.7285
1669,102.37
1670,93.15108333
1671,104.6890833
1672,92.95818333
1673,82.59323333
1674,104.8478667
1675,133.2483333
1676,139.425
1677,129.6635
1678,117.8816667
1679,104.031
1680,91.58633333
1681,87.30498333
1682,85.76336667
1683,74.81291667
1684,83.79605
1685,79.92193333
1686,84.25051667
1687,90.46513333
1688,102.64145
1689,111.9492667
1690,129.388
1691,109.6807667
1692,137.2526833
1693,126.3568833
1694,105.33375
1695,129.51795
